Chromosome	Genomic Position Start	Genomic Position End	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Phenotypes	moi
chr15	28111040	28322179	605837	HERC2, SHEP1, MRT38	HECT domain and RCC1-like domain 2	HERC2	8924	ENSG00000128731	Intellectual developmental disorder, autosomal recessive 38, 615516 (3), Autosomal recessive	AR
chr15	29264989	29269822	608243	NSMCE3, NDNL2, MAGEG1, LICS	NSE3 homolog, SMC5-SMC6 complex component	NSMCE3	56160	ENSG00000185115	Lung disease, immunodeficiency, and chromosome breakage syndrome, 617241 (3), Autosomal recessive	AR
chr15	30903852	30943108	613534	FAN1, MTMR15, KIAA1018, KMIN	FANCD2/FANCI-associated nuclease 1	FAN1	22909	ENSG00000198690	Interstitial nephritis, karyomegalic, 614817 (3), Autosomal recessive	AR
chr15	31001065	31161160	603576	TRPM1, MLSN1, CSNB1C	Transient receptor potential cation channel, subfamily M, member 1 (melastatin)	TRPM1	4308	ENSG00000134160	Night blindness, congenital stationary (complete), 1C, autosomal recessive, 613216 (3), Autosomal recessive	AR
chr15	33310967	33866102	180903	RYR3, CMYP20	Ryanodine receptor-3	RYR3	6263	ENSG00000198838	Congenital myopathy 20, 620310 (3), Autosomal recessive	AR
chr15	33400001	39800000	616898	DEL15q14, C15DELq14	Chromosome 15q14 deletion syndrome		NA		Chromosome 15q14 deletion syndrome, 616898 (4), Autosomal dominant	AD
chr15	34229784	34338057	604878	SLC12A6, KCC3A, KCC3B, KCC3, ACCPN, CMT2II	Solute carrier family 12 (potassium/chloride transporters), member 6	SLC12A6	9990	ENSG00000140199	Agenesis of the corpus callosum with peripheral neuropathy, 218000 (3), Autosomal recessive	AR
chr15	34341719	34343136	606471	NOP10, NOLA3, DKCB1, PFBMFT9, CHINE2	NOP10 ribonucleoprotein	NOP10	55505	ENSG00000182117	?Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 9, 620400 (3), Autosomal dominant	AD
chr15	34790230	34795549	102540	ACTC1, CMD1R, CMH11, ASD5, LVNC4	Actin, alpha, cardiac muscle	ACTC1	70	ENSG00000159251	Left ventricular noncompaction 4, 613424 (3), Autosomal dominant	AD
chr15	36579626	36810244	615626	CDIN1, C15orf41	CDAN1-interacting nuclease 1	CDIN1	84529	ENSG00000186073	Dyserythropoietic anemia, congenital, type Ib, 615631 (3), Autosomal recessive	AR
chr15	36889204	37101311	601740	MEIS2, MRG1, CPCMR	Meis homeobox 2	MEIS2	4212	ENSG00000134138	Cleft palate, cardiac defects, and impaired intellectual development, 600987 (3), Autosomal dominant	AD
chr15	38252836	38357249	609291	SPRED1, NFLS, LGSS	Sprouty-related EVH1 domain-containing protein 1	SPRED1	161742	ENSG00000166068	Legius syndrome, 611431 (3), Autosomal dominant	AD
chr15	38488103	38564814	603962	RASGRP1, IMD64	Ras guanyl nucleotide releasing protein-1	RASGRP1	10125	ENSG00000172575	Immunodeficiency 64, 618534 (3), Autosomal recessive	AR
chr15	39800001	44500000	605419	SCZD10	Schizophrenia 10		63944		{Schizophrenia 10}, 605419 (2), Autosomal dominant	AD
chr15	39934115	40035591	609280	EIF2AK4, GCN2, KIAA1338, PVOD2	Eukaryotic translation initiation factor 2-alpha kinase 4	EIF2AK4	440275	ENSG00000128829	Pulmonary venoocclusive disease 2, 234810 (3), Autosomal recessive	AR
chr15	40382721	40394288	614718	KNSTRN, C15orf23, SKAP, ROCHIS	Kinetochore-localized astrin/SPAG5 binding protein	KNSTRN	90417	ENSG00000128944	?Roifman-Chitayat syndrome, digenic, 613328 (3), Digenic recessive	digenic
chr15	40405795	40435947	607036	IVD	Isovaleryl Coenzyme A dehydrogenase	IVD	3712	ENSG00000128928	Isovaleric acidemia, 243500 (3), Autosomal recessive	AR
chr15	40470984	40473158	608429	CHST14, D4ST1, ATCS, EDSMC1	Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14	CHST14	113189	ENSG00000169105	Ehlers-Danlos syndrome, musculocontractural type 1, 601776 (3), Autosomal recessive	AR
chr15	40520993	40565042	618941	CCDC32, CFNDS, C15orf57	Coiled-coil domain-containing protein 32	CCDC32	90416	ENSG00000128891	Cardiofacioneurodevelopmental syndrome, 619123 (3), Autosomal recessive	AR
chr15	40594249	40664342	609173	KNL1, CASC5, AF15Q14, KIAA1570, D40, MCPH4	Kinetochore scaffold 1	KNL1	57082	ENSG00000137812	Microcephaly 4, primary, autosomal recessive, 604321 (3), Autosomal recessive	AR
chr15	40694733	40732340	179617	RAD51, RECA, MRMV2, FANCR	RAD51 recombinase	RAD51	5888	ENSG00000051180	Mirror movements 2, 614508 (3), Autosomal dominant	AD
chr15	40807089	40815084	619635	ZFYVE19, ANCHR, PFIC9	Zinc finger FYVE domain-containing protein 19	ZFYVE19	84936	ENSG00000166140	Cholestasis, progressive familial intrahepatic, 9, 619849 (3), Autosomal recessive	AR
chr15	40929340	40939073	605185	DLL4, AOS6	Delta-like canonical Notch ligand 4	DLL4	54567	ENSG00000128917	Adams-Oliver syndrome 6, 616589 (3), Autosomal dominant	AD
chr15	41231268	41281887	606988	CHP1, SPAX9	Calcineurin like EF-hand protein 1	CHP1	11261	ENSG00000187446	?Spastic ataxia 9, autosomal recessive, 618438 (3), Autosomal recessive	AR
chr15	41387353	41403026	606934	NDUFAF1, CIA30, CGI65, MC1DN11	NADH-ubiquinone oxidoreductase complex assembly factor 1	NDUFAF1	51103	ENSG00000137806	Mitochondrial complex I deficiency, nuclear type 11, 618234 (3), Autosomal recessive	AR
chr15	41774484	41827855	616786	MAPKBP1, JNKBP1, NPHP20	Mitogen-activated protein kinase-binding protein 1	MAPKBP1	23005	ENSG00000137802	Nephronophthisis 20, 617271 (3), Autosomal recessive	AR
chr15	42359501	42412317	114240	CAPN3, CANP3, LGMDR1, LGMDD4	Calpain, large polypeptide L3	CAPN3	825	ENSG00000092529	Muscular dystrophy, limb-girdle, autosomal recessive 1, 253600 (3), Autosomal recessive	AR
chr15	42723544	42737128	607465	CDAN1, CDA1, CDAN1A	Codanin 1	CDAN1	146059	ENSG00000140326	Dyserythropoietic anemia, congenital, type Ia, 224120 (3), Autosomal recessive	AR
chr15	42738730	42921000	611695	TTBK2, SCA11	Tau tubulin kinase 2	TTBK2	146057	ENSG00000128881	Spinocerebellar ataxia 11, 604432 (3), Autosomal dominant	AD
chr15	42942897	43106038	605981	UBR1, JBS	Ubiquitin-protein ligase E3-alpha	UBR1	197131	ENSG00000159459	Johanson-Blizzard syndrome, 243800 (3), Autosomal recessive	AR
chr15	43232590	43266928	603805	TGM5, TGX, PSS2	Transglutaminase 5	TGM5	9333	ENSG00000104055	Peeling skin syndrome 2, 609796 (3), Autosomal recessive	AR
chr15	43300001	44500000	611102	DEL15q15.3, C15DELq15.3	Chromosome 15q15.3 deletion syndrome		NA		Deafness and male infertility, 611102 (4), Autosomal recessive	AR
chr15	43371101	43409771	609610	TUBGCP4, GCP4, MCCRP3	Tubulin-gamma complex-associated protein 4	TUBGCP4	27229	ENSG00000137822	Microcephaly and chorioretinopathy, autosomal recessive, 3, 616335 (3), Autosomal recessive	AR
chr15	43599563	43618800	606440	STRC, DFNB16	Stereocilin	STRC	161497	ENSG00000242866	Deafness, autosomal recessive 16, 603720 (3), Autosomal recessive	AR
chr15	43870764	44199473	616309	FRMD5, NEDEMA	FERM domain-containing protein 5	FRMD5	84978	ENSG00000171877	Neurodevelopmental disorder with eye movement abnormalities and ataxia, 620094 (3), Autosomal dominant	AD
chr15	44562696	44663662	610844	SPG11, KIAA1840, FLJ21439, ALS5, CMT2X	SPG11 vesicle trafficking associated, spatacsin	SPG11	80208	ENSG00000104133	Amyotrophic lateral sclerosis 5, juvenile, 602099 (3), Autosomal recessive	AR
chr15	44665732	44711390	614661	PATL2, PAT1A, OZEMA4	PAT1 homolog 2	PATL2	197135	ENSG00000229474	Oocyte/zygote/embryo maturation arrest 4, 617743 (3), Autosomal recessive	AR
chr15	44711517	44718145	109700	B2M, IMD43	Beta-2-microglobulin	B2M	567	ENSG00000166710	?Amyloidosis, familial visceral, 105200 (3), Autosomal dominant	AD
chr15	44956687	44979229	617131	TERB2, C15orf43, SPGF59	Telomere repeat-binding bouquet formation protein 2	TERB2	145645	ENSG00000167014	?Spermatogenic failure 59, 619645 (3), Autosomal recessive	AR
chr15	45023195	45077185	182500	SORD, SORD1, HMNR8	Sorbitol dehydrogenase	SORD	6652	ENSG00000140263	Neuronopathy, distal hereditary motor, autosomal recessive 8, 618912 (3), Autosomal recessive	AR
chr15	45092650	45114172	606759	DUOX2, THOX2, TDH6	Dual oxidase 2 (thyroid oxidase 2)	DUOX2	50506	ENSG00000140279	Thyroid dyshormonogenesis 6, 607200 (3), Autosomal recessive	AR
chr15	45114326	45118421	612772	DUOXA2, TDH5	Dual oxidase maturation factor 2	DUOXA2	405753	ENSG00000140274	Thyroid dyshormonogenesis 5, 274900 (3), Autosomal recessive	AR
chr15	45361124	45402227	602360	GATM, AGAT, CCDS3, FRTS1	L-arginine:glycine amidinotransferase	GATM	2628	ENSG00000171766	Cerebral creatine deficiency syndrome 3, 612718 (3), Autosomal recessive	AR
chr15	45402336	45421415	619578	AFG2B, SPATA5L1, DFNB119, NEDHLS	AFG2 AAA ATPase homolog B	AFG2B	79029	ENSG00000171763	Deafness, autosomal recessive 119, 619615 (3), Autosomal recessive	AR
chr15	45587123	45609716	604310	BLOC1S6, BLOS6, PLDN, PA, HPS9	Biogenesis of lysosome-related organelles complex 1, subunit 6	BLOC1S6	26258	ENSG00000104164	?Hermansky-Pudlak syndrome 9, 614171 (3), Autosomal recessive	AR
chr15	45631148	45691281	617658	SQOR, SQRDL	Sulfide quinone oxidoreductase	SQOR	58472	ENSG00000137767	Sulfide:quinone oxidoreductase deficiency, 619221 (3), Autosomal recessive	AR
chr15	48120990	48142672	609802	SLC24A5, NCKX5, SHEP4, OCA6	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 5	SLC24A5	283652	ENSG00000188467	[Skin/hair/eye pigmentation 4, fair/dark skin], 113750 (3), Autosomal recessive	AR
chr15	48206302	48304078	600839	SLC12A1, NKCC2	Solute carrier family 12 (sodium/potassium/chloride transporters), member 1	SLC12A1	6557	ENSG00000074803	Bartter syndrome, type 1, 601678 (3), Autosomal recessive	AR
chr15	48331095	48343373	601266	DUT, BMFDMS	dUTP pyrophosphatase	DUT	1854	ENSG00000128951	Bone marrow failure and diabetes mellitus syndrome, 620044 (3), Autosomal recessive	AR
chr15	48408313	48645709	134797	FBN1, MFS1, WMS2, SSKS, GPHYSD2, ACMICD, ECTOL1, MFLS	Fibrillin-1	FBN1	2200	ENSG00000166147	Geleophysic dysplasia 2, 614185 (3), Autosomal dominant	AD
chr15	48729083	48811069	613529	CEP152, KIAA0912, MCPH9, SCKL5	Centrosomal protein, 152kD	CEP152	22995	ENSG00000103995	Microcephaly 9, primary, autosomal recessive, 614852 (3), Autosomal recessive	AR
chr15	50241947	50265726	142704	HDC	Histidine decarboxylase	HDC	3067	ENSG00000140287	{Gilles de la Tourette syndrome, susceptibility to}, 137580 (3), Autosomal dominant	AD
chr15	50557158	50686797	605692	TRPM7, LTRPC7, CHAK, ALSPDC	Transient receptor potential cation channel, subfamily M, member 7	TRPM7	54822	ENSG00000092439	{Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to}, 105500 (3), Autosomal dominant	AD
chr15	50702266	50765706	608238	SPPL2A, IMP3, IMD86	Signal peptide peptidase-like 2A	SPPL2A	84888	ENSG00000138600	Immunodeficiency 86, mycobacteriosis, 619549 (3), Autosomal recessive	AR
chr15	50907492	51005895	607244	AP4E1, SPG51, CPSQ4, STUT1	Adaptor-related protein complex 4, epsilon-1 subunit	AP4E1	23431	ENSG00000081014	Stuttering, familial persistent, 1, 184450 (3), Autosomal dominant	AD
chr15	51341655	51413365	608603	GLDN, CRGL2, LCCS11	Gliomedin	GLDN	342035	ENSG00000186417	Lethal congenital contracture syndrome 11, 617194 (3), Autosomal recessive	AR
chr15	51447791	51622771	612186	DMXL2, RC3, KIAA0856, PEPNS, DFNA71, DEE81	DMX-like 2	DMXL2	23312	ENSG00000104093	Developmental and epileptic encephalopathy 81, 618663 (3), Autosomal recessive	AR
chr15	52115100	52191392	604447	GNB5, GB5, LDMLS1, LDMLS2	Guanine nucleotide-binding protein, beta-5	GNB5	10681	ENSG00000069966	Lodder-Merla syndrome, type 2, with developmental delay and with or without cardiac arrhythmia, 617182 (3), Autosomal recessive	AR
chr15	52307283	52529050	160777	MYO5A, MYH12, GS1	Myosin Va	MYO5A	4644	ENSG00000197535	Griscelli syndrome, type 1, 214450 (3), Autosomal recessive	AR
chr15	53513741	53762878	613214	WDR72, AI2A3	WD repeat-containing protein 72	WDR72	256764	ENSG00000166415	Amelogenesis imperfecta, type IIA3, 613211 (3), Autosomal recessive	AR
chr15	55202966	55289813	603868	RAB27A, RAM, GS2	Ras-associated protein RAB27A	RAB27A	5873	ENSG00000069974	Griscelli syndrome, type 2, 607624 (3), Autosomal recessive	AR
chr15	55319222	55355648	604122	PIGB, DEE80	Phosphatidylinositol glycan, class B	PIGB	9488	ENSG00000069943	Developmental and epileptic encephalopathy 80, 618580 (3), Autosomal recessive	AR
chr15	55417755	55508234	608706	DNAAF4, DYX1C1, DYXC1, DYX1, CILD25	Dynein, axonemal, assembly factor 4	DNAAF4	161582	ENSG00000256061	{Dyslexia, susceptibility to, 1}, 127700 (3), Autosomal dominant	AD
chr15	56087280	56245082	612660	RFX7, RFXDC2, MRD71	Regulatory factor X, 7	RFX7	64864	ENSG00000181827	Intellectual developmental disorder, autosomal dominant 71, with behavioral abnormalities, 620330 (3), Autosomal dominant	AD
chr15	56428724	56465137	610766	MNS1, FLJ11222, HTX9	Meiosis-specific nuclear structural protein 1	MNS1	55329	ENSG00000138587	Heterotaxy, visceral, 9, autosomal, with male infertility, 618948 (3), Autosomal recessive	AR
chr15	56918090	57291310	600480	TCF12, HTF4, CRS3, HH26	Transcription factor-12 (HTF4, helix-loop-helix transcription factors-4)	TCF12	6938	ENSG00000140262	Craniosynostosis 3, 615314 (3), Autosomal dominant	AD
chr15	57953429	58065711	603687	ALDH1A2, RALDH2, DIH4	Aldehyde dehydrogenase 1 family, member A2 (retinaldehyde dehydrogenase 2)	ALDH1A2	8854	ENSG00000128918	Diaphragmatic hernia 4, with cardiovascular defects, 620025 (3), Autosomal recessive	AR
chr15	58431991	58569844	151670	LIPC, HL, LIPH, HDLCQ12	Lipase C, hepatic	LIPC	3990	ENSG00000166035	{Diabetes mellitus, noninsulin-dependent}, 125853 (3), Autosomal dominant	AD
chr15	59132434	59372871	601479	MYO1E, MYO1C, FSGS6	Myosin IE	MYO1E	4643	ENSG00000157483	Glomerulosclerosis, focal segmental, 6, 614131 (3), Autosomal recessive	AR
chr15	60488284	61229302	600825	RORA, IDDECA	RAR-related orphan receptor A	RORA	6095	ENSG00000069667	Intellectual developmental disorder with or without epilepsy or cerebellar ataxia, 618060 (3), Autosomal dominant	AD
chr15	61852389	62060447	608879	VPS13C, KIAA1421, PARK23	Vacuolar protein sorting 13 homolog C	VPS13C	54832	ENSG00000129003	Parkinson disease 23, autosomal recessive, early onset, 616840 (3), Autosomal recessive	AR
chr15	63042747	63071915	191010	TPM1, CMH3, CMD1Y , LVNC9	Tropomyosin 1, alpha	TPM1	7168	ENSG00000140416	Left ventricular noncompaction 9, 611878 (3), Autosomal dominant	AD
chr15	63321378	63381846	603263	CA12	Carbonic anhydrase XII	CA12	771	ENSG00000074410	Hyperchlorhidrosis, isolated, 143860 (3), Autosomal recessive	AR
chr15	63608618	63833948	605109	HERC1, MDFPMR	HECT domain and RCC1-like domain 1	HERC1	8925	ENSG00000103657	Macrocephaly, dysmorphic facies, and psychomotor retardation, 617011 (3), Autosomal recessive	AR
chr15	64155817	64163022	123841	PPIB, CYPB, OI9	Peptidyl-prolyl isomerase B	PPIB	5479	ENSG00000166794	Osteogenesis imperfecta, type IX, 259440 (3), Autosomal recessive	AR
chr15	64387836	64455303	604501	TRIP4, ASC1, SMABF1, MDCDC	Thyroid hormone receptor interactor 4	TRIP4	9325	ENSG00000103671	?Muscular dystrophy, congenital, Davignon-Chauveau type, 617066 (3), Autosomal recessive	AR
chr15	64963022	64989914	608181	ACP33, MAST, SPG21	Acidic cluster protein, 33kD, (maspardin)	SPG21	51324	ENSG00000090487	Mast syndrome, 248900 (3), Autosomal recessive	AR
chr15	65001512	65029639	611766	MTFMT, COXPD15, MC1DN27	Mitochondrial methionyl-tRNA formyltransferase	MTFMT	123263	ENSG00000103707	Combined oxidative phosphorylation deficiency 15, 614947 (3), Autosomal recessive	AR
chr15	65045387	65053397	612085	SLC51B, OSTB, PBAM2	Solute carrier family 51, beta subunit (organic solute transporter, beta)	SLC51B	123264	ENSG00000186198	?Bile acid malabsorption, primary, 2, 619481 (3), Autosomal recessive	AR
chr15	65076746	65079948	613727	KBTBD13, NEM6	Kelch repeat and BTB/POZ domains-containing protein 13	KBTBD13	390594	ENSG00000234438	Nemaline myopathy 6, autosomal dominant, 609273 (3), Autosomal dominant	AD
chr15	65148219	65185342	615611	CLPX, EPP2	Caseinolytic mitochondrial matrix peptidase chaperone subunit	CLPX	10845	ENSG00000166855	?Protoporphyria, erythropoietic, 2, 618015 (3), Autosomal dominant	AD
chr15	65611350	65661002	603617	SLC24A1, NCKX1, CSNB1D	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	SLC24A1	9187	ENSG00000074621	Night blindness, congenital stationary (complete), 1D, autosomal recessive, 613830 (3), Autosomal recessive	AR
chr15	66386912	66491544	176872	MAP2K1, PRKMK1, MKK1, MEK1, CFC3, MEL	Mitogen-activated protein kinase kinase 1	MAP2K1	5604	ENSG00000169032	Cardiofaciocutaneous syndrome 3, 615279 (3), Autosomal dominant	AD
chr15	66702236	66782849	602931	SMAD6, MADH6, AOVD2	SMAD family member 6	SMAD6	4091	ENSG00000137834	Aortic valve disease 2, 614823 (3), Autosomal dominant	AD
chr15	67065602	67195169	603109	SMAD3, MADH3, LDS3	SMAD family member 3	SMAD3	4088	ENSG00000166949	Loeys-Dietz syndrome 3, 613795 (3), Autosomal dominant	AD
chr15	67200667	67255198	614888	AAGAB, p34, PPKP1A, PPKP1, KPPP1	Alpha- and gamma-adaptin-binding protein	AAGAB	79719	ENSG00000103591	Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant	AD
chr15	68206992	68257211	606725	CLN6, CLN6A	CLN6 transmembrane ER protein	CLN6	54982	ENSG00000128973	Ceroid lipofuscinosis, neuronal, 6B (Kufs type), 204300 (3), Autosomal recessive	AR
chr15	69414349	69448427	605064	KIF23, KNSL5, MKLP1, CDAN3A	Kinesin family member 23	KIF23	9493	ENSG00000137807	Anemia, congenital dyserythropoietic, type IIIA, 105600 (3), Autosomal dominant	AD
chr15	71096894	71783383	614476	THSD4, ADAMTSL6, AAT12	Thrombospondin type-1 domain-containing 4	THSD4	79875	ENSG00000187720	Aortic aneurysm, familial thoracic 12, 619825 (3), Autosomal dominant	AD
chr15	71810554	71818253	604485	NR2E3, PNR, ESCS, RP37	Nuclear receptor subfamily 2, group E, member 3	NR2E3	10002	ENSG00000278570	Retinitis pigmentosa 37, 611131 (3), Autosomal recessive, Autosomal dominant	AD/AR
chr15	71822291	72118600	604875	MYO9A, CMS24	Myosin IXa	MYO9A	4649	ENSG00000066933	Myasthenic syndrome, congenital, 24, presynaptic, 618198 (3), Autosomal recessive	AR
chr15	72340924	72376014	606869	HEXA, TSD	Hexosaminidase A, alpha polypeptide	HEXA	3073	ENSG00000213614	[Hex A pseudodeficiency], 272800 (3), Autosomal recessive	AR
chr15	72400001	88500000	612274	CILD8	Ciliary dyskinesia, primary, 8		100190786		Ciliary dyskinesia, primary, 8, 612274 (2), Autosomal recessive	AR
chr15	72400001	78000000	603204	ENFL2	Epilepsy, nocturnal frontal lobe, type 2		50971		Epilepsy, nocturnal frontal lobe, type 2, 603204 (2), Autosomal dominant	AD
chr15	72686207	72738473	600374	BBS4	BBS4 gene	BBS4	585	ENSG00000140463	Bardet-Biedl syndrome 4, 615982 (3), Autosomal recessive	AR
chr15	73319859	73368958	605206	HCN4, SSS2, BRGDA8, EIG18	Hyperpolarization-activated cyclic nucleotide-gated potassium channel 4	HCN4	10021	ENSG00000138622	Sick sinus syndrome 2, 163800 (3), Autosomal dominant	AD
chr15	73443164	73560013	618421	REC114, OZEMA10	Rec114 meiotic recombination protein	REC114	283677	ENSG00000183324	Oocyte/zygote/embryo maturation arrest 10, 619176 (3), Autosomal recessive	AR
chr15	73926462	73952136	153456	LOXL1, LOXL	Lysyl oxidase-like 1	LOXL1	4016	ENSG00000129038	{Exfoliation syndrome, susceptibility to}, 177650 (3), Autosomal dominant	AD
chr15	74179466	74212259	610745	STRA6, MCOPS9, MCOPCB8	Stimulated by retinoic acid 6, mouse, homolog of	STRA6	64220	ENSG00000137868	Microphthalmia, syndromic 9, 601186 (3), Autosomal recessive	AR
chr15	74409289	74433958	607961	SEMA7A, SEMAL, SEMAK1, CDW108, JMH, PFIC11	Semaphorin 7A	SEMA7A	8482	ENSG00000138623	?Cholestasis, progressive familial intrahepatic, 11, 619874 (3), Autosomal recessive	AR
chr15	74630558	74696024	609842	EDC3, YJDC, MRT50	Enhancer of mRNA decapping 3	EDC3	80153	ENSG00000179151	?Intellectual developmental disorder, autosomal recessive 50, 616460 (3), Autosomal recessive	AR
chr15	74890042	74902219	154550	MPI, PMI1, CDG1B	Mannosephosphate isomerase (phosphomannose isomerase 1)	MPI	4351	ENSG00000178802	Congenital disorder of glycosylation, type Ib, 602579 (3), Autosomal recessive	AR
chr15	74919791	74938073	603773	COX5A, MC4DN20	Cytochrome C oxidase, subunit Va	COX5A	9377	ENSG00000178741	Mitochondrial complex IV deficiency, nuclear type 20, 619064 (3), Autosomal recessive	AR
chr15	75355792	75368607	154580	MAN2C1, MANA, CDDG2	Mannosidase, alpha, class 2C, member 1	MAN2C1	4123	ENSG00000140400	Congenital disorder of deglycosylation 2, 619775 (3), Autosomal recessive	AR
chr15	75369379	75455815	607776	SIN3A, WITKOS	Sin3, yeast, homolog of, A	SIN3A	25942	ENSG00000169375	Witteveen-Kolk syndrome, 613406 (3), Autosomal dominant	AD
chr15	76215353	76311469	608053	ETFA, GA2, MADD	Electron transfer flavoprotein, alpha polypeptide	ETFA	2108	ENSG00000140374	Glutaric acidemia IIA, 231680 (3), Autosomal recessive	AR
chr15	76347904	76905340	611611	SCAPER, KIAA1454, IDDRP	S-phase cyclin A-associated protein in the endoplasmic reticulum	SCAPER	49855	ENSG00000140386	Intellectual developmental disorder and retinitis pigmentosa, 618195 (3), Autosomal recessive	AR
chr15	76994680	77037475	606347	PSTPIP1, PSTPIP, CD2BP1, PAPAS	Proline-serine-threonine phosphatase-interacting protein 1	PSTPIP1	9051	ENSG00000140368	Pyogenic sterile arthritis, pyoderma gangrenosum, and acne, 604416 (3), Autosomal dominant	AD
chr15	77613027	77820900	609791	LINGO1, LRRN6A, LERN1, MRT64	Leucine-rich repeat- and Ig domain-containing NOGO receptor-interacting protein 1	LINGO1	84894	ENSG00000169783	Intellectual developmental disorder, autosomal recessive 64, 618103 (3), Autosomal recessive	AR
chr15	77994985	78077711	619152	TBC1D2B, KIAA1055, NEDSGO	TBC1 domain family, member 2B	TBC1D2B	23102	ENSG00000167202	Neurodevelopmental disorder with seizures and gingival overgrowth, 619323 (3), Autosomal recessive	AR
chr15	78000001	88500000	614294	DEL15q25, C15DELq25	Chromosome 15q25 deletion syndrome		NA		Chromosome 15q25 deletion syndrome, 614294 (4), Autosomal dominant	AD
chr15	78000001	101991189	606451	DFNA30	Deafness, autosomal dominant 30		23719		Deafness, autosomal dominant 30, 606451 (2), Autosomal dominant	AD
chr15	78104606	78131535	605564	CIB2, KIP2	Calcium- and integrin-binding protein 2	CIB2	10518	ENSG00000136425	Deafness, autosomal recessive 48, 609439 (3), Autosomal recessive	AR
chr15	78149362	78171945	601149	IDH3A, RP90	Isocitrate dehydrogenase 3 (NAD+) alpha	IDH3A	3419	ENSG00000166411	Retinitis pigmentosa 90, 619007 (3), Autosomal recessive	AR
chr15	78437431	78501453	147582	IREB2, NDCAMA	Iron-responsive element-binding protein-2	IREB2	3658	ENSG00000136381	Neurodegeneration, early-onset, with choreoathetoid movements and microcytic anemia, 618451 (3), Autosomal recessive	AR
chr15	79209788	79209871	613146	MIR184, MIRN184, KTCNCT, EDICT	Micro RNA 184	MIR184	406960	ENSG00000207695	EDICT syndrome, 614303 (3), Autosomal dominant	AD
chr15	79843547	79897285	604197	MTHFS, NEDMEHM	5,10-methenyltetrahydrofolate synthetase	MTHFS	10588	ENSG00000136371	Neurodevelopmental disorder with microcephaly, epilepsy, and hypomyelination, 618367 (3), Autosomal recessive	AR
chr15	80152789	80186949	613871	FAH	Fumarylacetoacetase	FAH	2184	ENSG00000103876	Tyrosinemia, type I, 276700 (3), Autosomal recessive	AR
chr15	80404382	80597933	606036	ARNT2, WEDAS	Aryl hydrocarbon receptor nuclear translocator 2	ARNT2	9915	ENSG00000172379	?Webb-Dattani syndrome, 615926 (3), Autosomal recessive	AR
chr15	80946289	80989819	607783	MESD, MESDC2, BOCA, KIAA0081, OI20	Mesoderm development LRP chaperone	MESD	23184	ENSG00000117899	Osteogenesis imperfecta, type XX, 618644 (3), Autosomal recessive	AR
chr15	82130233	82262734	617538	EFL1, RIA1, EFTUD1, FAM42A, SDS2	Elongation factor-like GTPase 1	EFL1	79631	ENSG00000140598	Shwachman-Diamond syndrome 2, 617941 (3), Autosomal recessive	AR
chr15	82536750	82540457	180472	RPS17, RPS17L1, RPS17L2, DBA4	Ribosomal protein S17	RPS17	6218	ENSG00000182774	Diamond-Blackfan anemia 4, 612527 (3), Autosomal dominant	AD
chr15	82659281	82709875	602166	AP3B2, NAPTB, DEE48	Adaptor-related protein complex 3, beta 2 subunit	AP3B2	8120	ENSG00000103723	Developmental and epileptic encephalopathy 48, 617276 (3), Autosomal recessive	AR
chr15	82834661	82986157	604799	HOMER2, HOMER2B, HOMER2A, DFNA68	Homer scaffold protein 2	HOMER2	9455	ENSG00000103942	?Deafness, autosomal dominant 68, 616707 (3), Autosomal dominant	AD
chr15	83255884	83284664	601930	BNC1, POF16	Basonuclin	BNC1	646	ENSG00000169594	?Premature ovarian failure 16, 618723 (3), Autosomal dominant	AD
chr15	84639285	84654283	616144	WDR73, HSPC264, GAMOS1	WD repeat-containing protein 73	WDR73	84942	ENSG00000177082	Galloway-Mowat syndrome 1, 251300 (3), Autosomal recessive	AR
chr15	84817356	84873479	617608	ALPK3, MIDORI, KIAA1330, CMH27	Alpha kinase 3	ALPK3	57538	ENSG00000136383	Cardiomyopathy, familial hypertrophic 27, 618052 (3), Autosomal recessive	AR
chr15	84884662	84975649	606207	SLC28A1, CNT1, URCTU	Solute carrier family 28 (sodium-coupled nucleoside transporter), member 1	SLC28A1	9154	ENSG00000156222	[Uridine-cytidineuria], 618477 (3), Autosomal recessive	AR
chr15	86079620	87031476	615496	AGBL1, CCP4, FECD8	ATP/GTP-binding protein-like 1	AGBL1	123624	ENSG00000273540	Corneal dystrophy, Fuchs endothelial, 8, 615523 (3), Autosomal dominant	AD
chr15	88500001	101991189	166800	OTSC1, OTS	Otosclerosis 1		5012		Otosclerosis 1, 166800 (2), Autosomal dominant	AD
chr15	88500001	101991189	609289	VVS	Syncope, familial vasovagal		105031671		Syncope, familial vasovagal, 609289 (2), Autosomal dominant	AD
